id,policy_type,accident_type,claim_severity_level,vehicle_category,area_type,vehicle_damage_score,accident_impact_score,repair_risk_index,injury_severity_prob,overall_claim_risk,agent_name,policy_number,claim_date,random_noise,claim_description,claim_amount
10352,C,Theft,Medium,SUV,Rural,0.601,0.743,0.621,0.346,0.507,Anjali,PN33003,2022-12-18,0.346,Moderate theft causing body and light damage,44057
10353,B,Theft,Medium,Sedan,Rural,0.724,0.287,0.519,0.236,0.447,Priya,PN90169,2022-12-19,0.043,Moderate theft causing body and light damage,31322
10354,A,Fire,Medium,Sedan,Urban,0.928,0.657,0.659,0.36,0.593,Neha,PN52077,2022-12-20,0.719,Moderate fire causing body and light damage,62057
10355,A,Collision,Low,Truck,Urban,0.676,0.125,0.313,0.174,0.33,Ramesh,PN36730,2022-12-21,0.953,Minor collision with small damage,27798
10356,B,Collision,Medium,Sedan,Rural,0.662,0.41,0.527,0.486,0.538,Anjali,PN82981,2022-12-22,0.264,Moderate collision causing body and light damage,39336
10357,A,Theft,Medium,SUV,Rural,0.296,0.468,0.386,0.342,0.35,Suresh,PN89817,2022-12-23,0.088,Moderate theft causing body and light damage,24512
10358,B,Collision,Medium,Truck,Urban,0.074,0.969,0.503,0.426,0.386,Amit,PN82138,2022-12-24,0.476,Moderate collision causing body and light damage,40890
10359,C,Theft,Medium,SUV,Urban,0.678,0.481,0.501,0.556,0.558,Neha,PN75573,2022-12-25,0.857,Moderate theft causing body and light damage,45604
10360,B,Fire,Low,Sedan,Urban,0.581,0.0,0.25,0.083,0.249,Ramesh,PN38869,2022-12-26,0.552,Minor fire with small damage,31716
10361,A,Collision,Medium,Sedan,Urban,0.497,0.05,0.293,0.521,0.425,Kunal,PN41076,2022-12-27,0.047,Moderate collision causing body and light damage,29253
10362,B,Collision,Medium,Sedan,Urban,0.649,0.559,0.633,0.284,0.496,Priya,PN96005,2022-12-28,0.974,Moderate collision causing body and light damage,45588
10363,B,Theft,Medium,SUV,Urban,0.588,0.703,0.645,0.319,0.503,Priya,PN35094,2022-12-29,0.829,Moderate theft causing body and light damage,40770
10364,B,Collision,Medium,Sedan,Urban,0.826,0.644,0.793,0.396,0.641,Kunal,PN36817,2022-12-30,0.132,Moderate collision causing body and light damage,56725
10365,C,Theft,Medium,Sedan,Urban,0.617,0.592,0.624,0.206,0.456,Amit,PN20555,2022-12-31,0.922,Moderate theft causing body and light damage,45493
10366,A,Collision,Medium,Truck,Rural,0.451,0.841,0.608,0.394,0.491,Amit,PN80656,2023-01-01,0.451,Moderate collision causing body and light damage,38368
10367,C,Theft,Medium,SUV,Urban,0.798,0.415,0.593,0.459,0.58,Neha,PN90214,2023-01-02,0.372,Moderate theft causing body and light damage,49518
10368,C,Collision,Medium,Sedan,Urban,0.557,0.774,0.595,0.441,0.526,Amit,PN60193,2023-01-03,0.461,Moderate collision causing body and light damage,56900
10369,A,Theft,Medium,SUV,Urban,0.705,0.142,0.418,0.265,0.414,Anjali,PN14715,2023-01-04,0.835,Moderate theft causing body and light damage,26355
10370,A,Collision,Medium,SUV,Urban,0.505,0.324,0.47,0.304,0.41,Rahul,PN44162,2023-01-05,0.659,Moderate collision causing body and light damage,33494
10371,A,Collision,Low,Sedan,Rural,0.47,0.098,0.318,0.07,0.249,Rahul,PN48458,2023-01-06,0.059,Minor collision with small damage,21036
10372,A,Collision,Medium,Sedan,Urban,0.617,0.481,0.619,0.19,0.447,Ramesh,PN13140,2023-01-07,0.958,Moderate collision causing body and light damage,39248
10373,A,Theft,Medium,Truck,Urban,0.603,0.538,0.555,0.12,0.39,Ramesh,PN84174,2023-01-08,0.148,Moderate theft causing body and light damage,31648
10374,B,Fire,Medium,SUV,Rural,0.696,0.579,0.705,0.552,0.642,Anjali,PN27383,2023-01-09,0.746,Moderate fire causing body and light damage,59369
10375,A,Collision,Medium,SUV,Urban,0.546,0.565,0.546,0.234,0.421,Ramesh,PN27718,2023-01-10,0.636,Moderate collision causing body and light damage,36752
10376,A,Collision,Low,Sedan,Rural,0.233,0.318,0.349,0.393,0.343,Rahul,PN86160,2023-01-11,0.188,Minor collision with small damage,25688
10377,C,Collision,Medium,Sedan,Urban,0.513,0.502,0.507,0.388,0.461,Neha,PN67399,2023-01-12,0.171,Moderate collision causing body and light damage,46398
10378,A,Theft,Medium,Sedan,Urban,0.759,0.176,0.503,0.311,0.477,Neha,PN97008,2023-01-13,0.87,Moderate theft causing body and light damage,29258
10379,C,Theft,Medium,Sedan,Urban,0.541,0.891,0.789,0.161,0.488,Amit,PN31863,2023-01-14,0.42,Moderate theft causing body and light damage,50538
10380,A,Collision,Medium,Sedan,Urban,0.551,0.474,0.503,0.294,0.429,Neha,PN81626,2023-01-15,0.655,Moderate collision causing body and light damage,38404
10381,A,Collision,Medium,Sedan,Rural,0.797,0.428,0.623,0.647,0.668,Ramesh,PN21377,2023-01-16,0.504,Moderate collision causing body and light damage,41473
10382,B,Collision,Medium,Truck,Rural,0.458,0.947,0.767,0.554,0.62,Suresh,PN93031,2023-01-17,0.727,Moderate collision causing body and light damage,50653
10383,B,Collision,Medium,Truck,Urban,0.291,0.239,0.259,0.688,0.437,Ramesh,PN70523,2023-01-18,0.479,Moderate collision causing body and light damage,33076
10384,C,Collision,Medium,SUV,Urban,0.568,0.269,0.352,0.738,0.55,Rahul,PN24870,2023-01-19,0.287,Moderate collision causing body and light damage,47050
10385,B,Fire,Medium,Truck,Rural,0.503,0.276,0.497,0.334,0.433,Kunal,PN67487,2023-01-20,0.363,Moderate fire causing body and light damage,41353
10386,C,Collision,Medium,Sedan,Rural,0.407,0.533,0.446,0.65,0.52,Suresh,PN29300,2023-01-21,0.859,Moderate collision causing body and light damage,42435
10387,A,Theft,Medium,Truck,Urban,0.565,0.658,0.619,0.298,0.48,Amit,PN65951,2023-01-22,0.468,Moderate theft causing body and light damage,32695
10388,A,Collision,Medium,Sedan,Urban,0.698,0.735,0.774,0.411,0.614,Priya,PN77639,2023-01-23,0.213,Moderate collision causing body and light damage,48839
10389,C,Collision,Medium,Truck,Urban,0.598,1.0,0.769,0.371,0.575,Kunal,PN82126,2023-01-24,0.935,Moderate collision causing body and light damage,66120
10390,C,Theft,Medium,Truck,Rural,0.661,0.0,0.28,0.511,0.449,Neha,PN52980,2023-01-25,0.797,Moderate theft causing body and light damage,28032
10391,C,Theft,High,SUV,Urban,0.963,0.702,0.845,0.639,0.786,Neha,PN42050,2023-01-26,0.056,Severe theft with major damage and possible injuries,62861
10392,B,Fire,Medium,Truck,Urban,0.531,0.411,0.381,0.359,0.402,Rahul,PN12921,2023-01-27,0.999,Moderate fire causing body and light damage,45665
10393,A,Collision,Medium,SUV,Rural,0.656,0.403,0.515,0.399,0.497,Ramesh,PN80270,2023-01-28,0.695,Moderate collision causing body and light damage,35133
10394,C,Collision,Medium,Sedan,Urban,0.498,0.395,0.459,0.331,0.416,Ramesh,PN95293,2023-01-29,0.16,Moderate collision causing body and light damage,44373
10395,A,Theft,Medium,Sedan,Urban,0.431,0.323,0.363,0.395,0.389,Suresh,PN40328,2023-01-30,0.237,Moderate theft causing body and light damage,25391
10396,C,Collision,Medium,SUV,Urban,0.483,0.971,0.65,0.432,0.53,Neha,PN70820,2023-01-31,0.692,Moderate collision causing body and light damage,59913
10397,C,Collision,Medium,Sedan,Urban,0.504,0.761,0.712,0.506,0.588,Kunal,PN33138,2023-02-01,0.78,Moderate collision causing body and light damage,58425
10398,B,Collision,Medium,SUV,Urban,0.672,0.556,0.619,0.2,0.462,Rahul,PN91573,2023-02-02,0.239,Moderate collision causing body and light damage,46221
10399,C,Collision,Medium,Truck,Urban,1.0,0.888,1.0,0.223,0.689,Kunal,PN22094,2023-02-03,0.257,Moderate collision causing body and light damage,75137
10400,C,Fire,Medium,Sedan,Urban,0.457,0.172,0.301,0.604,0.454,Amit,PN75264,2023-02-04,0.307,Moderate fire causing body and light damage,48489
10401,A,Collision,Medium,SUV,Urban,0.517,0.217,0.323,0.447,0.411,Ramesh,PN19028,2023-02-05,0.598,Moderate collision causing body and light damage,32469
10402,C,Collision,Medium,Truck,Rural,0.587,0.006,0.31,0.313,0.367,Anjali,PN25432,2023-02-06,0.172,Moderate collision causing body and light damage,32053
10403,B,Collision,Medium,Truck,Rural,0.679,0.375,0.516,0.778,0.654,Kunal,PN53819,2023-02-07,0.104,Moderate collision causing body and light damage,42411
10404,C,Collision,Medium,Truck,Urban,0.653,0.59,0.563,0.059,0.379,Neha,PN98627,2023-02-08,0.679,Moderate collision causing body and light damage,48875
10405,A,Collision,Medium,SUV,Urban,0.857,0.576,0.79,0.367,0.634,Priya,PN91122,2023-02-09,0.779,Moderate collision causing body and light damage,49292
10406,C,Collision,Low,Truck,Urban,0.115,0.587,0.32,0.345,0.289,Rahul,PN15312,2023-02-10,0.501,Minor collision with small damage,35608
10407,A,Collision,Low,SUV,Urban,0.123,0.197,0.068,0.588,0.287,Suresh,PN35973,2023-02-11,0.364,Minor collision with small damage,23419
10408,A,Theft,Medium,Sedan,Urban,0.501,0.751,0.692,0.394,0.535,Ramesh,PN65305,2023-02-12,0.432,Moderate theft causing body and light damage,38073
10409,C,Collision,Medium,SUV,Urban,0.819,0.61,0.689,0.369,0.587,Ramesh,PN38973,2023-02-13,0.388,Moderate collision causing body and light damage,58065
10410,A,Collision,Medium,SUV,Urban,0.287,0.733,0.48,0.533,0.462,Amit,PN54390,2023-02-14,0.96,Moderate collision causing body and light damage,37287
10411,A,Fire,Low,Sedan,Urban,0.0,0.077,0.0,0.157,0.063,Ramesh,PN26099,2023-02-15,0.768,Minor fire with small damage,10712
10412,C,Theft,Medium,SUV,Urban,0.714,0.628,0.758,0.412,0.611,Rahul,PN59956,2023-02-16,0.208,Moderate theft causing body and light damage,51314
10413,C,Collision,Medium,SUV,Urban,0.649,0.253,0.386,0.406,0.447,Neha,PN24063,2023-02-17,0.384,Moderate collision causing body and light damage,41175
10414,B,Collision,Medium,Sedan,Urban,0.382,0.451,0.419,0.667,0.511,Neha,PN91919,2023-02-18,0.544,Moderate collision causing body and light damage,38884
10415,B,Collision,Medium,SUV,Urban,0.403,0.684,0.589,0.822,0.645,Neha,PN19605,2023-02-19,0.613,Moderate collision causing body and light damage,47683
10416,B,Theft,Medium,SUV,Urban,0.406,0.573,0.51,0.656,0.548,Anjali,PN87904,2023-02-20,0.468,Moderate theft causing body and light damage,37928
10417,A,Fire,Medium,SUV,Rural,0.622,0.337,0.477,0.317,0.442,Priya,PN82964,2023-02-21,0.81,Moderate fire causing body and light damage,40177
10418,A,Theft,Low,Sedan,Rural,0.475,0.552,0.428,0.199,0.346,Priya,PN61205,2023-02-22,0.768,Minor theft with small damage,26356
10419,B,Collision,Medium,Sedan,Urban,0.699,0.167,0.392,0.26,0.401,Anjali,PN25817,2023-02-23,0.505,Moderate collision causing body and light damage,35636
10420,C,Theft,Low,Sedan,Urban,0.029,0.838,0.443,0.235,0.277,Ramesh,PN12420,2023-02-24,0.854,Minor theft with small damage,31949
10421,C,Collision,Low,Truck,Urban,0.429,0.499,0.424,0.145,0.313,Kunal,PN94448,2023-02-25,0.751,Minor collision with small damage,40966
10422,C,Collision,Medium,Sedan,Urban,0.375,0.83,0.612,0.639,0.576,Priya,PN79853,2023-02-26,0.779,Moderate collision causing body and light damage,59194
10423,A,Collision,Medium,SUV,Urban,0.549,0.418,0.518,0.599,0.556,Kunal,PN99897,2023-02-27,0.956,Moderate collision causing body and light damage,39889
10424,B,Fire,Medium,Sedan,Rural,0.492,0.419,0.504,0.383,0.453,Kunal,PN37728,2023-02-28,0.266,Moderate fire causing body and light damage,44397
10425,A,Collision,Medium,Sedan,Urban,0.76,0.359,0.498,0.332,0.484,Priya,PN67858,2023-03-01,0.268,Moderate collision causing body and light damage,37035
10426,B,Theft,Medium,Truck,Rural,0.228,0.769,0.608,0.542,0.506,Anjali,PN59089,2023-03-02,0.889,Moderate theft causing body and light damage,33078
10427,B,Collision,Medium,SUV,Urban,0.609,0.373,0.529,0.379,0.485,Amit,PN94257,2023-03-03,0.772,Moderate collision causing body and light damage,42216
10428,C,Collision,Medium,Sedan,Urban,0.712,0.711,0.711,0.312,0.552,Priya,PN38964,2023-03-04,0.927,Moderate collision causing body and light damage,60997
10429,A,Collision,Medium,Sedan,Rural,0.971,0.454,0.767,0.323,0.63,Suresh,PN86992,2023-03-05,0.063,Moderate collision causing body and light damage,44366
10430,A,Collision,Medium,Sedan,Urban,0.504,0.056,0.398,0.637,0.515,Anjali,PN52240,2023-03-06,0.628,Moderate collision causing body and light damage,32622
10431,A,Theft,Medium,SUV,Urban,0.665,0.407,0.464,0.218,0.406,Suresh,PN93449,2023-03-07,0.145,Moderate theft causing body and light damage,31352
10432,C,Collision,Medium,SUV,Urban,0.239,0.255,0.236,0.594,0.38,Kunal,PN22675,2023-03-08,0.504,Moderate collision causing body and light damage,34392
10433,B,Theft,Low,Sedan,Urban,0.122,0.558,0.221,0.467,0.299,Suresh,PN70049,2023-03-09,0.156,Minor theft with small damage,24723
10434,A,Theft,Medium,Sedan,Rural,0.769,0.252,0.52,0.758,0.665,Ramesh,PN91664,2023-03-10,0.128,Moderate theft causing body and light damage,33009
10435,A,Fire,Medium,Sedan,Urban,0.599,0.781,0.708,0.293,0.52,Neha,PN58436,2023-03-11,0.012,Moderate fire causing body and light damage,55903
10436,B,Collision,Medium,Truck,Rural,0.836,0.527,0.68,0.148,0.498,Amit,PN50213,2023-03-12,0.63,Moderate collision causing body and light damage,44023
10437,A,Collision,Medium,Truck,Rural,0.325,0.506,0.383,0.448,0.397,Ramesh,PN38111,2023-03-13,0.359,Moderate collision causing body and light damage,29867
10438,C,Collision,Medium,Sedan,Rural,0.704,0.714,0.607,0.189,0.459,Neha,PN14284,2023-03-14,0.105,Moderate collision causing body and light damage,52026
10439,B,Fire,Medium,SUV,Urban,0.974,0.791,0.901,0.178,0.626,Amit,PN27585,2023-03-15,0.323,Moderate fire causing body and light damage,73965
10440,A,Fire,Medium,Sedan,Urban,0.684,0.545,0.687,0.692,0.689,Kunal,PN75039,2023-03-16,0.169,Moderate fire causing body and light damage,60277
10441,A,Collision,Medium,Sedan,Rural,0.655,0.357,0.477,0.689,0.597,Amit,PN17131,2023-03-17,0.942,Moderate collision causing body and light damage,38502
10442,C,Theft,Medium,SUV,Urban,0.602,0.107,0.376,0.367,0.417,Amit,PN53382,2023-03-18,0.32,Moderate theft causing body and light damage,34114
10443,A,Collision,Low,Truck,Urban,0.286,0.378,0.254,0.372,0.308,Suresh,PN43527,2023-03-19,0.334,Minor collision with small damage,27804
10444,A,Theft,Medium,Truck,Urban,0.871,0.396,0.656,0.372,0.586,Suresh,PN97493,2023-03-20,0.84,Moderate theft causing body and light damage,38623
10445,C,Collision,Medium,SUV,Urban,0.478,0.577,0.508,0.553,0.52,Suresh,PN40936,2023-03-21,0.648,Moderate collision causing body and light damage,52327
10446,C,Theft,Medium,Sedan,Urban,0.701,0.464,0.544,0.294,0.476,Amit,PN97081,2023-03-22,0.71,Moderate theft causing body and light damage,41790
10447,C,Collision,Low,SUV,Urban,0.287,0.722,0.467,0.024,0.254,Rahul,PN63441,2023-03-23,0.636,Minor collision with small damage,38934
10448,C,Theft,Low,Sedan,Urban,0.364,0.397,0.361,0.152,0.278,Anjali,PN64598,2023-03-24,0.946,Minor theft with small damage,30318
10449,A,Theft,Medium,SUV,Rural,0.887,0.536,0.731,0.235,0.564,Amit,PN89220,2023-03-25,0.207,Moderate theft causing body and light damage,33333
10450,A,Theft,Medium,Sedan,Urban,0.531,0.846,0.623,0.303,0.477,Anjali,PN30642,2023-03-26,0.989,Moderate theft causing body and light damage,38693
10451,C,Collision,Medium,SUV,Rural,0.891,0.635,0.743,0.549,0.695,Anjali,PN79907,2023-03-27,0.831,Moderate collision causing body and light damage,61574
10452,B,Collision,Medium,Sedan,Urban,0.584,0.535,0.558,0.671,0.608,Suresh,PN22651,2023-03-28,0.589,Moderate collision causing body and light damage,47516
10453,B,Collision,Low,Sedan,Rural,0.232,0.4,0.261,0.236,0.245,Amit,PN11665,2023-03-29,0.662,Minor collision with small damage,24454
10454,C,Collision,Medium,Truck,Urban,0.778,0.392,0.675,0.382,0.578,Suresh,PN16918,2023-03-30,0.649,Moderate collision causing body and light damage,55415
10455,A,Collision,Medium,Sedan,Rural,0.482,0.337,0.367,0.591,0.48,Suresh,PN33007,2023-03-31,0.058,Moderate collision causing body and light damage,30990
10456,B,Fire,Medium,SUV,Urban,0.74,0.415,0.544,0.245,0.463,Suresh,PN85730,2023-04-01,0.218,Moderate fire causing body and light damage,54419
10457,A,Collision,Medium,Sedan,Rural,0.605,0.739,0.623,0.652,0.631,Kunal,PN35035,2023-04-02,0.961,Moderate collision causing body and light damage,43637
10458,B,Collision,Low,Sedan,Urban,0.291,0.495,0.483,0.141,0.308,Kunal,PN99352,2023-04-03,0.534,Minor collision with small damage,33400
10459,A,Collision,Medium,Sedan,Rural,0.633,0.213,0.45,0.367,0.454,Rahul,PN98602,2023-04-04,0.378,Moderate collision causing body and light damage,31905
10460,A,Collision,High,Sedan,Rural,1.0,0.992,0.949,0.361,0.724,Neha,PN86749,2023-04-05,0.762,Severe collision with major damage and possible injuries,55418
10461,A,Theft,Medium,Truck,Urban,0.699,0.63,0.72,0.524,0.637,Anjali,PN98148,2023-04-06,0.525,Moderate theft causing body and light damage,40004
10462,B,Collision,Low,Sedan,Urban,0.588,0.198,0.403,0.169,0.347,Amit,PN32211,2023-04-07,0.013,Minor collision with small damage,34849
10463,B,Fire,Medium,Truck,Rural,0.815,0.44,0.64,0.624,0.669,Ramesh,PN64587,2023-04-08,0.736,Moderate fire causing body and light damage,57223
10464,B,Collision,Medium,SUV,Urban,0.642,0.578,0.593,0.496,0.564,Suresh,PN36866,2023-04-09,0.732,Moderate collision causing body and light damage,48225
10465,C,Fire,Medium,Sedan,Rural,0.642,0.976,0.772,0.457,0.62,Rahul,PN17344,2023-04-10,0.165,Moderate fire causing body and light damage,76423
10466,A,Fire,Low,SUV,Urban,0.382,0.273,0.344,0.318,0.341,Ramesh,PN78737,2023-04-11,0.957,Minor fire with small damage,34178
10467,A,Collision,Medium,SUV,Urban,0.647,0.794,0.693,0.444,0.584,Kunal,PN80288,2023-04-12,0.224,Moderate collision causing body and light damage,48318
10468,C,Fire,High,SUV,Rural,0.807,0.9,0.944,0.562,0.764,Neha,PN72546,2023-04-13,0.458,Severe fire with major damage and possible injuries,84843
10469,A,Collision,Medium,Sedan,Urban,0.433,0.393,0.349,0.564,0.452,Amit,PN20327,2023-04-14,0.115,Moderate collision causing body and light damage,32451
10470,C,Theft,Medium,Sedan,Rural,0.885,0.481,0.76,0.313,0.606,Anjali,PN58659,2023-04-15,0.603,Moderate theft causing body and light damage,46421
10471,A,Collision,Medium,Truck,Urban,0.582,0.291,0.431,0.212,0.373,Anjali,PN55797,2023-04-16,0.375,Moderate collision causing body and light damage,31930
10472,C,Fire,Medium,Truck,Urban,0.422,0.499,0.476,0.243,0.372,Kunal,PN81627,2023-04-17,0.353,Moderate fire causing body and light damage,52946
10473,A,Fire,Medium,Truck,Urban,0.8,0.541,0.712,0.57,0.673,Rahul,PN37608,2023-04-18,0.827,Moderate fire causing body and light damage,63696
10474,C,Theft,Medium,Sedan,Urban,0.543,0.715,0.597,0.339,0.483,Suresh,PN38285,2023-04-19,0.01,Moderate theft causing body and light damage,44764
10475,B,Theft,Medium,SUV,Urban,0.752,0.823,0.83,0.17,0.551,Suresh,PN98534,2023-04-20,0.798,Moderate theft causing body and light damage,48081
10476,C,Collision,Medium,SUV,Urban,0.542,0.363,0.317,0.525,0.445,Anjali,PN58634,2023-04-21,0.571,Moderate collision causing body and light damage,42792
10477,A,Collision,Medium,SUV,Urban,0.588,0.058,0.287,0.513,0.438,Suresh,PN50289,2023-04-22,0.986,Moderate collision causing body and light damage,28326
10478,B,Collision,Medium,Sedan,Urban,0.699,0.545,0.575,0.312,0.495,Anjali,PN98479,2023-04-23,0.589,Moderate collision causing body and light damage,46327
10479,C,Collision,Medium,SUV,Rural,0.658,0.623,0.578,0.136,0.417,Rahul,PN28007,2023-04-24,0.055,Moderate collision causing body and light damage,47097
10480,B,Theft,Medium,Sedan,Urban,0.201,0.612,0.396,0.87,0.547,Kunal,PN35257,2023-04-25,0.051,Moderate theft causing body and light damage,36056
10481,B,Collision,Medium,Sedan,Urban,0.376,0.468,0.441,0.374,0.401,Ramesh,PN95054,2023-04-26,0.883,Moderate collision causing body and light damage,38738
10482,B,Fire,Medium,Truck,Urban,0.786,0.581,0.719,0.486,0.639,Neha,PN39784,2023-04-27,0.841,Moderate fire causing body and light damage,70555
10483,B,Theft,Medium,Sedan,Urban,0.574,0.929,0.763,0.347,0.559,Amit,PN48588,2023-04-28,0.346,Moderate theft causing body and light damage,46427
10484,B,Theft,Medium,Sedan,Rural,0.495,0.645,0.537,0.224,0.403,Anjali,PN54221,2023-04-29,0.618,Moderate theft causing body and light damage,31519
10485,B,Collision,Medium,Sedan,Urban,0.328,0.457,0.411,0.473,0.419,Neha,PN31378,2023-04-30,0.49,Moderate collision causing body and light damage,36926
10486,C,Fire,Low,Truck,Urban,0.384,0.425,0.411,0.167,0.308,Kunal,PN14696,2023-05-01,0.967,Minor fire with small damage,47239
10487,A,Fire,Medium,SUV,Urban,0.196,0.508,0.398,0.487,0.393,Suresh,PN44635,2023-05-02,0.95,Moderate fire causing body and light damage,40034
10488,A,Collision,High,Sedan,Urban,0.58,0.959,0.808,0.759,0.743,Neha,PN68543,2023-05-03,0.984,Severe collision with major damage and possible injuries,53346
10489,C,Theft,Medium,Truck,Rural,0.48,0.504,0.494,0.354,0.435,Ramesh,PN91259,2023-05-04,0.866,Moderate theft causing body and light damage,38433
10490,C,Theft,Medium,Truck,Urban,0.407,0.545,0.431,0.26,0.358,Priya,PN29207,2023-05-05,0.91,Moderate theft causing body and light damage,37193
10491,B,Collision,Medium,Sedan,Rural,0.586,0.429,0.475,0.188,0.383,Kunal,PN37524,2023-05-06,0.217,Moderate collision causing body and light damage,32898
10492,B,Collision,Medium,SUV,Urban,0.673,0.825,0.721,0.298,0.542,Priya,PN38554,2023-05-07,0.831,Moderate collision causing body and light damage,52159
10493,A,Collision,High,SUV,Urban,1.0,1.0,0.984,0.336,0.728,Amit,PN21817,2023-05-08,0.709,Severe collision with major damage and possible injuries,62138
10494,A,Collision,Medium,SUV,Rural,0.298,0.663,0.494,0.683,0.53,Amit,PN65258,2023-05-09,0.963,Moderate collision causing body and light damage,36773
10495,B,Collision,Medium,Sedan,Urban,0.832,0.571,0.737,0.469,0.649,Neha,PN72582,2023-05-10,0.571,Moderate collision causing body and light damage,52966
10496,A,Collision,Medium,Truck,Urban,0.795,0.559,0.674,0.554,0.65,Amit,PN10168,2023-05-11,0.085,Moderate collision causing body and light damage,48885
10497,B,Collision,Low,SUV,Urban,0.444,0.0,0.223,0.263,0.283,Kunal,PN52981,2023-05-12,0.597,Minor collision with small damage,22449
10498,A,Collision,Medium,Sedan,Urban,0.641,0.736,0.696,0.398,0.566,Rahul,PN75199,2023-05-13,0.687,Moderate collision causing body and light damage,46448
10499,C,Fire,Medium,Sedan,Urban,0.508,0.584,0.52,0.479,0.501,Anjali,PN74948,2023-05-14,0.22,Moderate fire causing body and light damage,64815
10500,C,Collision,Medium,Sedan,Urban,0.637,0.657,0.601,0.058,0.391,Ramesh,PN67782,2023-05-15,0.394,Moderate collision causing body and light damage,50093
10501,B,Fire,Medium,Sedan,Urban,0.902,0.372,0.549,0.072,0.429,Suresh,PN90759,2023-05-16,0.599,Moderate fire causing body and light damage,52875
10502,B,Collision,Medium,SUV,Urban,0.721,0.454,0.553,0.073,0.394,Suresh,PN71599,2023-05-17,0.374,Moderate collision causing body and light damage,41880
10503,A,Collision,Medium,Sedan,Urban,0.702,0.447,0.598,0.322,0.508,Anjali,PN83563,2023-05-18,0.375,Moderate collision causing body and light damage,40068
10504,C,Collision,Medium,Sedan,Urban,0.514,0.805,0.625,0.584,0.586,Neha,PN26291,2023-05-19,0.133,Moderate collision causing body and light damage,59723
10505,B,Collision,Low,SUV,Urban,0.303,0.455,0.367,0.208,0.291,Suresh,PN63833,2023-05-20,0.941,Minor collision with small damage,30579
10506,A,Collision,Medium,Sedan,Urban,0.558,1.0,0.802,0.16,0.497,Neha,PN97057,2023-05-21,0.75,Moderate collision causing body and light damage,47282
10507,C,Theft,Medium,Truck,Rural,0.841,0.658,0.776,0.275,0.589,Anjali,PN97154,2023-05-22,0.001,Moderate theft causing body and light damage,45701
10508,C,Collision,Low,Sedan,Urban,0.295,0.231,0.209,0.343,0.28,Amit,PN42992,2023-05-23,0.766,Minor collision with small damage,30471
10509,C,Theft,Medium,Sedan,Rural,0.389,0.518,0.503,0.241,0.375,Anjali,PN49350,2023-05-24,0.74,Moderate theft causing body and light damage,32981
10510,B,Theft,Medium,Sedan,Urban,0.625,0.387,0.563,0.17,0.418,Amit,PN11573,2023-05-25,0.01,Moderate theft causing body and light damage,32798
10511,B,Collision,Low,Sedan,Urban,0.403,0.001,0.146,0.154,0.2,Rahul,PN18577,2023-05-26,0.37,Minor collision with small damage,21270
10512,B,Collision,Medium,Sedan,Urban,0.441,0.95,0.654,0.842,0.687,Rahul,PN18712,2023-05-27,0.607,Moderate collision causing body and light damage,57287
10513,C,Theft,Medium,SUV,Urban,0.515,0.726,0.68,0.114,0.421,Ramesh,PN39948,2023-05-28,0.453,Moderate theft causing body and light damage,44006
10514,C,Collision,Medium,Truck,Urban,0.327,0.683,0.498,0.5,0.465,Anjali,PN87700,2023-05-29,0.778,Moderate collision causing body and light damage,48733
10515,A,Collision,Medium,Sedan,Urban,0.405,0.591,0.387,0.787,0.551,Suresh,PN15217,2023-05-30,0.425,Moderate collision causing body and light damage,39404
10516,A,Fire,Medium,SUV,Urban,0.741,0.204,0.403,0.618,0.556,Kunal,PN70178,2023-05-31,0.154,Moderate fire causing body and light damage,45644
10517,A,Collision,Low,SUV,Rural,0.339,0.429,0.371,0.157,0.279,Rahul,PN95062,2023-06-01,0.976,Minor collision with small damage,27978
10518,C,Theft,Medium,Truck,Urban,0.28,0.76,0.462,0.72,0.529,Anjali,PN36409,2023-06-02,0.242,Moderate theft causing body and light damage,42896
10519,C,Fire,Low,Sedan,Urban,0.474,0.287,0.36,0.126,0.289,Ramesh,PN59040,2023-06-03,0.718,Minor fire with small damage,45381
10520,A,Collision,Medium,Sedan,Rural,0.746,0.0,0.375,0.259,0.403,Priya,PN88270,2023-06-04,0.143,Moderate collision causing body and light damage,28314
10521,B,Collision,Medium,Sedan,Urban,0.561,0.493,0.6,0.341,0.489,Rahul,PN89066,2023-06-05,0.329,Moderate collision causing body and light damage,43497
10522,A,Collision,Medium,SUV,Urban,0.507,0.515,0.496,0.167,0.367,Ramesh,PN87930,2023-06-06,0.442,Moderate collision causing body and light damage,35479
10523,C,Collision,Medium,Truck,Urban,0.609,0.584,0.65,0.405,0.544,Neha,PN77035,2023-06-07,0.192,Moderate collision causing body and light damage,55325
10524,C,Collision,Medium,Sedan,Rural,0.251,0.732,0.563,0.224,0.365,Neha,PN19669,2023-06-08,0.45,Moderate collision causing body and light damage,39209
10525,C,Theft,High,Sedan,Rural,0.699,0.709,0.776,0.808,0.773,Ramesh,PN68247,2023-06-09,0.157,Severe theft with major damage and possible injuries,52006
10526,B,Collision,Medium,Truck,Urban,0.677,0.615,0.66,0.342,0.536,Amit,PN68975,2023-06-10,0.559,Moderate collision causing body and light damage,48300
10527,B,Collision,Medium,Truck,Urban,0.518,0.849,0.585,0.59,0.574,Priya,PN38562,2023-06-11,0.664,Moderate collision causing body and light damage,50731
